,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1905,535,2,1,20,9,134874.4,1,1,1,118825.56
14968,680,2,0,48,8,115115.38,1,1,0,139558.6
8287,725,0,0,36,1,118851.05,1,1,1,102747.02
4684,623,0,1,43,1,0.0,2,1,1,146379.3
8094,614,1,1,66,2,0.0,2,0,1,180082.7
8608,727,2,0,31,3,82729.47,2,1,0,60212.51
13133,648,0,0,39,6,130694.89,2,1,1,153955.38
8295,722,0,1,40,6,0.0,2,1,1,111893.09
13705,698,2,1,56,1,112414.81,2,0,0,93982.02
9552,664,0,0,41,5,0.0,1,1,1,152054.33
5038,612,0,0,63,2,126473.33,1,0,1,147545.65
6220,807,0,1,33,10,101952.97,2,1,0,178153.65
10018,599,2,1,61,1,124737.96,1,0,1,90389.61
5597,670,0,0,42,6,112333.63,1,1,1,65706.86
12813,551,2,1,50,1,121399.98,1,0,1,84508.44
12437,712,1,1,52,9,0.0,1,1,1,117977.45
5858,570,0,0,30,10,176173.52,1,1,0,97045.32
7466,700,2,0,30,4,116377.48,1,1,1,134417.31
14556,786,2,0,33,0,122325.58,1,0,0,34712.34
13958,684,0,1,60,2,116563.58,1,1,0,120257.7
2837,549,2,0,49,6,124829.16,1,0,1,93551.36
9627,641,1,1,31,3,153316.14,1,1,0,59927.99
3757,593,1,0,45,6,79259.75,1,1,0,55347.28
3218,663,0,1,36,10,0.0,2,1,0,136349.55
3573,670,0,1,68,4,0.0,2,1,1,11426.7
3132,615,0,1,39,4,133707.09,1,1,1,108152.75
13851,733,2,1,34,3,100337.96,3,1,0,48559.19
3520,554,0,0,43,10,0.0,2,1,0,149629.13
7936,468,0,1,22,2,0.0,2,1,0,28123.99
2588,741,0,1,32,5,0.0,1,1,1,64839.23
3338,688,1,0,24,3,0.0,2,1,1,102195.16
4695,669,0,1,37,1,125529.55,1,1,1,162260.93
8720,711,0,0,28,8,0.0,2,0,0,105159.89
3353,508,0,0,31,7,0.0,2,1,1,6123.15
4308,641,0,0,40,7,0.0,1,1,0,126996.67
1758,642,2,0,30,5,129753.69,1,1,0,582.53
12353,667,2,1,43,1,103018.45,1,1,0,32462.39
11026,608,2,0,44,5,126147.84,1,0,1,132424.69
852,511,2,0,41,8,153895.65,1,1,1,39087.42
1494,449,0,1,52,6,0.0,2,0,1,123622.0
11300,706,1,1,57,7,0.0,1,1,0,17941.16
8757,678,2,0,44,2,98009.13,2,0,1,31384.86
2464,583,2,1,40,4,107041.3,1,1,1,5635.63
5508,656,0,0,75,3,0.0,2,1,1,1276.87
9260,799,2,0,39,7,167395.6,2,0,1,139537.43
13855,584,2,0,37,10,134171.8,4,1,1,70927.11
8217,605,2,1,75,2,61319.63,1,0,1,186655.11
10162,766,2,0,34,6,106434.94,1,0,1,137995.66
11027,663,1,0,22,9,0.0,1,1,0,29135.89
2332,439,0,0,29,6,156569.43,1,1,0,180598.66
14205,625,0,0,51,4,124620.01,2,1,0,92243.94
4608,850,2,1,42,8,119839.69,1,0,1,51016.02
12412,754,2,0,55,3,161608.81,1,1,0,8080.85
9202,528,0,1,31,9,120962.59,1,1,0,5419.31
13969,731,2,0,43,9,79120.27,1,0,0,548.52
500,555,1,1,32,4,0.0,2,1,1,54405.79
13371,689,1,0,45,0,57784.22,1,1,0,197804.0
5664,667,1,1,71,4,137260.78,1,0,1,94433.08
9707,642,0,0,41,7,115171.71,1,1,1,37674.47
1046,807,1,0,42,1,0.0,1,1,0,16500.66
9147,636,0,1,35,9,95478.17,1,0,0,169286.74
2633,576,0,1,41,1,0.0,1,1,1,188274.6
14787,491,2,0,68,1,95039.12,1,0,1,116471.14
15747,624,0,0,45,3,68639.57,1,1,0,168002.31
6820,528,0,1,29,3,102787.42,1,1,0,55972.56
14238,640,0,0,47,6,89799.46,2,0,1,13783.77
9924,632,2,0,50,5,107959.39,1,1,1,6985.34
8888,743,0,1,23,3,110203.77,1,1,0,95583.45
13896,671,2,1,51,3,96891.46,1,1,0,176403.33
7317,727,2,1,59,5,152581.06,1,1,0,71830.1
6497,669,0,1,50,9,201009.64,1,1,0,158032.5
11705,601,2,1,48,9,163630.76,1,0,1,41816.49
777,692,1,1,28,9,118945.09,1,0,0,16064.25
14169,706,2,0,46,7,111288.18,1,1,1,149170.25
9380,627,0,1,70,1,94416.78,1,0,1,145299.5
6613,524,0,0,28,7,0.0,2,0,1,147100.72
4019,620,1,1,31,2,166833.86,2,1,1,135171.6
1194,764,0,0,24,7,0.0,2,1,0,186105.99
10854,756,0,1,60,2,0.0,1,1,1,166513.49
51,585,2,1,36,5,146050.97,2,0,0,86424.57
12016,574,1,1,36,4,77967.5,1,1,0,167066.95
2304,759,1,0,35,7,147936.42,1,1,1,106785.7
8410,743,0,0,46,9,0.0,1,1,0,113436.08
8049,652,0,0,31,3,103696.97,3,0,0,155221.05
9699,763,0,0,23,2,0.0,2,1,0,153983.99
1113,731,2,0,21,8,132312.06,1,1,0,106663.46
2982,526,1,0,43,3,0.0,2,1,0,31705.19
656,549,1,1,25,6,193858.2,1,0,1,21600.11
3254,552,2,1,50,4,121175.56,1,1,0,117505.07
15471,532,0,1,44,3,148595.55,1,1,0,74838.64
4921,526,1,0,33,8,114634.63,2,1,0,110114.38
1187,765,0,0,50,9,126547.8,1,1,1,79579.94
15820,807,1,0,42,1,0.0,1,1,0,16500.66
12417,713,1,0,48,1,163760.82,1,0,0,157381.14
7222,744,1,1,39,4,95161.75,1,1,0,19409.77
565,543,0,1,36,4,0.0,2,1,1,141210.5
4118,529,0,1,28,9,0.0,2,1,1,52545.24
12863,702,0,1,26,5,56738.47,2,1,1,100442.22
840,732,2,1,50,6,145338.76,1,0,0,91936.1
3888,743,0,1,71,0,0.0,2,0,1,29837.65
1642,626,1,1,62,3,0.0,1,1,1,65010.74
9054,546,0,0,30,5,0.0,2,0,1,198543.09
13963,842,0,1,44,3,141252.18,4,0,1,128521.16
9024,640,0,0,47,6,89799.46,2,0,1,13783.77
2666,740,0,0,37,7,0.0,2,1,1,194270.91
1972,733,1,0,30,0,83319.28,1,0,0,57769.2
8161,588,0,1,31,4,99607.37,2,0,1,35877.03
13622,568,0,0,44,7,0.0,2,0,0,62370.67
1149,655,0,1,38,4,0.0,2,0,0,110527.71
4783,710,0,0,37,5,0.0,2,1,0,115403.31
4092,583,1,0,40,4,0.0,2,1,0,114093.73
11490,520,0,0,39,1,73493.17,1,0,1,109626.13
15074,538,1,0,49,9,141434.04,1,0,0,173779.25
765,710,1,0,27,2,135277.96,1,1,0,142200.15
5174,791,0,1,34,7,0.0,2,1,0,96734.46
8369,684,2,1,37,1,126817.13,2,1,1,29995.83
6717,663,1,0,58,5,216109.88,1,0,1,74176.71
3872,605,0,1,39,6,111169.91,1,0,0,9641.4
6341,807,2,0,40,1,134590.21,1,1,1,46253.65
9363,634,1,1,35,3,0.0,2,1,1,19515.48
9406,850,0,1,31,6,131996.66,2,1,1,178747.43
2620,603,0,1,35,6,128993.76,2,1,0,130483.56
8451,575,1,0,22,8,105229.34,1,1,1,34397.08
10212,832,0,1,61,2,0.0,1,0,1,127804.66
3026,585,0,1,40,7,0.0,2,0,0,146156.98
5361,589,0,1,46,9,0.0,2,1,0,170676.67
4102,662,1,1,33,3,0.0,2,0,1,68064.83
9425,687,1,0,72,4,0.0,2,1,1,50267.69
15057,559,0,1,50,5,162702.35,1,0,0,150548.5
14143,649,1,1,32,1,0.0,1,0,1,91167.19
8158,641,0,0,37,2,0.0,2,1,0,3939.87
6433,415,1,1,53,5,167259.44,1,1,1,22357.25
10182,510,2,0,44,4,123070.89,1,1,0,28461.29
5138,850,0,1,34,6,0.0,1,0,1,52796.31
2685,679,0,1,60,6,0.0,2,1,1,77331.77
14116,682,0,1,55,9,0.0,1,1,0,153356.8
10365,567,1,0,54,5,92316.31,2,1,0,158590.66
7696,614,2,0,39,8,125997.22,1,1,1,128049.34
911,648,1,0,53,6,111201.41,1,1,1,121542.29
6627,558,0,0,41,6,0.0,1,1,1,143585.29
8688,637,2,1,40,9,154309.67,1,1,1,125334.16
13548,750,0,0,37,6,0.0,1,1,1,117948.0
12841,651,1,1,38,2,0.0,3,1,0,67029.82
1345,568,1,0,26,6,0.0,2,0,0,166495.2
1444,583,0,0,38,10,0.0,2,0,1,113597.64
6389,605,0,0,30,9,135422.31,1,0,1,186418.85
3499,617,0,1,74,10,0.0,2,1,1,53949.98
14499,731,2,0,21,8,132312.06,1,1,0,106663.46
5725,507,0,0,33,1,113452.66,1,0,0,142911.99
13439,673,0,0,38,2,170061.92,2,0,0,134901.34
6510,619,1,1,46,8,62400.48,1,1,1,132498.39
2422,746,0,0,29,4,105599.67,1,1,1,43106.17
10072,670,2,1,40,2,164948.98,3,0,0,177028.0
2732,623,2,0,48,1,108076.33,1,1,0,118855.26
80,665,0,0,34,1,96645.54,2,0,0,171413.66
4217,587,2,1,35,5,121863.61,1,1,1,23481.69
14245,766,2,0,34,6,106434.94,1,0,1,137995.66
11129,638,2,1,50,1,102645.48,1,1,0,168359.98
5353,592,1,1,35,6,80285.16,1,1,0,72678.75
9158,540,1,0,31,10,118158.74,1,1,1,158027.57
12550,667,2,1,55,9,154393.43,1,1,1,137674.96
6669,517,0,1,56,9,142147.32,1,0,0,39488.04
4739,607,0,0,32,6,0.0,2,0,0,196062.01
6814,445,0,1,25,6,0.0,2,1,0,119425.94
1572,716,0,0,44,3,109528.28,1,1,0,27341.63
13827,794,0,0,62,9,123681.32,3,1,0,173586.63
879,518,0,0,45,9,105525.65,2,1,1,73418.29
1578,715,0,1,28,7,160376.61,1,0,0,196853.11
7307,850,0,1,28,8,67639.56,2,1,1,194245.29
1509,528,0,1,37,6,103772.45,1,1,0,197111.99
1896,850,1,0,38,3,0.0,2,0,1,179360.76
7785,738,0,1,26,9,0.0,2,1,1,48644.94
9096,569,0,1,37,9,178755.84,1,1,0,199929.17
4112,700,0,0,30,9,0.0,1,1,1,174971.64
10687,758,2,0,23,5,122739.1,1,1,0,102460.84
1845,737,0,1,36,9,0.0,1,0,1,188670.9
5568,693,0,1,38,7,198338.77,2,1,1,14278.18
6000,629,0,0,37,10,99546.25,3,0,1,25136.95
9864,742,2,1,33,1,137937.95,1,1,1,51387.1
13351,399,2,1,46,2,127655.22,1,1,0,139994.68
8091,768,0,1,29,2,95984.69,2,1,1,73686.75
15263,651,2,1,35,8,110067.71,1,1,0,127678.95
4742,506,2,1,59,8,119152.1,2,1,1,170679.74
11980,789,0,1,37,3,0.0,1,1,0,121883.87
15149,608,1,0,63,3,139529.93,2,1,1,175696.16
13973,688,0,0,54,9,0.0,1,1,0,191212.63
8282,747,0,0,21,4,81025.6,2,1,0,167682.57
15520,661,0,1,47,5,0.0,1,0,1,107243.31
15006,596,1,1,30,6,121345.88,4,1,0,41921.75
13391,474,0,1,54,3,0.0,1,1,0,108409.17
10113,652,0,0,51,3,0.0,1,1,0,173989.47
3614,558,2,0,36,0,126606.63,2,1,1,172363.52
8079,643,0,1,37,6,0.0,2,0,0,142454.77
2108,593,2,1,74,5,161434.36,2,1,1,65532.17
15733,751,0,0,48,4,0.0,1,0,1,30165.06
12963,604,0,1,33,3,0.0,1,1,0,42171.13
15867,613,2,0,51,7,147262.11,1,1,1,53630.9
9856,763,2,0,32,1,108465.65,2,1,0,60552.44
4696,631,1,0,41,0,0.0,1,0,0,87959.83
6053,552,1,1,42,4,0.0,2,0,0,195692.3
8487,706,2,1,34,0,140641.26,2,1,1,77271.91
8192,589,0,1,36,8,114435.47,1,1,0,26955.72
13793,580,2,0,38,1,128218.47,1,1,0,125953.83
13651,660,2,1,41,1,129901.21,1,1,0,26025.6
14058,652,2,1,50,8,125437.64,1,1,1,17160.94
8972,650,1,0,32,4,79450.09,1,1,1,118324.75
13313,755,0,1,41,6,104817.41,1,1,0,126013.58
13672,805,2,1,56,6,151802.29,1,1,0,46791.09
4325,567,1,0,45,1,157320.51,1,1,0,62193.92
3219,505,2,0,37,10,122453.97,2,1,1,52693.99
8377,802,1,1,40,4,0.0,2,1,1,81908.09
12284,675,0,0,38,6,68065.8,1,0,0,138777.0
5500,681,0,1,47,9,97023.21,1,1,1,2168.13
7771,850,2,1,29,1,154640.41,1,1,1,164039.51
1193,363,1,0,28,6,146098.43,3,1,0,100615.14
45,776,2,0,32,4,109421.13,2,1,1,126517.46
13022,749,1,1,42,9,222267.63,1,0,0,101108.85
976,586,0,0,43,8,132558.26,1,1,0,67046.83
12223,530,0,1,52,1,106723.28,1,0,0,109960.4
13649,629,0,0,37,10,99546.25,3,0,1,25136.95
2963,655,0,0,51,3,0.0,2,0,1,15801.02
8184,659,0,0,50,3,0.0,1,1,0,183399.12
1584,671,1,0,42,3,0.0,2,1,1,128449.33
6325,743,2,1,59,5,108585.35,1,1,1,192127.22
4515,726,1,1,30,8,134152.29,1,1,1,147822.44
13618,539,2,0,38,8,105435.74,1,0,0,80575.44
10319,682,0,1,55,9,0.0,1,1,0,153356.8
1975,622,0,0,35,5,0.0,2,1,0,51112.8
3912,581,1,1,46,2,79385.21,2,0,0,188492.82
5278,510,2,1,31,0,113688.63,1,1,0,33099.41
11643,623,0,1,45,0,0.0,1,1,0,196533.72
15332,542,2,0,35,9,127543.11,2,1,0,468.94
4411,657,1,1,42,5,41473.33,1,1,0,112979.6
13684,666,2,0,44,2,122314.5,1,0,0,68574.88
7625,598,2,1,19,3,150348.37,1,1,1,173784.04
13465,541,2,0,39,9,100116.67,1,1,1,199808.1
10585,489,2,0,52,1,131441.51,1,1,0,37240.11
12421,555,2,1,42,6,107104.5,1,1,1,41304.44
5180,569,1,1,43,8,161546.68,2,0,1,178187.28
2840,528,1,1,40,4,0.0,2,1,0,25399.7
11047,468,0,0,56,10,0.0,3,0,1,62256.87
10976,708,0,0,47,0,126589.12,2,0,1,132730.07
14699,641,0,0,48,3,147341.43,1,1,1,157458.61
15701,528,2,1,39,0,127631.62,1,0,1,22197.8
7015,572,0,0,30,6,0.0,1,0,1,175025.27
11959,775,2,0,38,4,125212.65,2,1,1,15795.88
10611,410,0,1,33,6,125789.69,1,0,0,66333.56
5371,712,0,1,33,3,153819.58,1,1,0,79176.09
15495,707,0,1,40,1,0.0,2,1,0,14090.4
10356,443,0,0,35,9,108308.0,1,1,0,129031.19
13251,708,0,1,34,3,0.0,1,0,1,121457.88
11200,711,1,1,42,3,177626.77,3,0,1,16392.72
4505,709,0,0,30,5,0.0,2,0,1,161388.22
6916,654,0,0,24,8,145081.73,1,1,1,130075.07
37,804,1,1,33,7,76548.6,1,0,1,98453.45
576,439,1,0,32,3,138901.61,1,1,0,75685.97
10830,554,1,0,46,7,87603.35,3,0,1,96929.24
3988,644,2,0,32,8,141528.88,1,1,1,167087.34
8769,622,0,1,31,7,0.0,1,1,0,35408.77
713,501,0,0,41,3,144260.5,1,1,0,172114.67
15309,606,2,0,41,4,132670.53,1,1,0,156476.36
12738,829,2,1,28,3,132405.52,3,1,0,104889.2
6215,553,1,1,41,6,144974.55,1,1,1,19344.92
5183,694,0,1,38,1,0.0,2,0,1,156858.2
13658,496,1,0,44,0,179356.28,2,1,0,2919.21
2335,724,2,0,48,6,110463.25,2,1,1,80552.11
4899,803,0,0,32,9,192122.84,1,1,1,54277.45
5376,850,1,1,38,1,146343.98,1,0,1,103902.11
4420,714,2,0,35,6,126077.43,2,1,1,53954.24
14285,749,2,1,54,3,144768.94,1,1,0,93336.3
8037,547,0,1,62,10,127738.75,2,1,1,85153.0
5069,655,1,0,29,9,0.0,2,0,1,85736.26
881,679,0,0,43,4,0.0,3,1,0,115136.51
4900,735,0,1,41,7,179904.0,1,1,1,137180.95
7745,660,0,1,40,5,131754.11,2,1,1,38761.61
567,687,1,0,63,1,137715.66,1,1,1,37938.74
8233,633,1,0,33,4,92855.02,1,1,1,159813.18
5646,526,2,0,35,9,118536.4,1,1,0,40980.87
2245,625,0,0,58,10,53772.73,1,1,1,192072.1
9896,795,0,0,40,2,101891.1,1,1,1,183044.86
6434,628,0,0,45,8,0.0,2,1,0,193903.06
4165,775,0,1,60,7,0.0,2,1,1,111558.7
14372,632,0,0,44,3,133793.89,1,1,1,34607.14
8515,724,2,0,35,0,171982.95,2,0,1,167313.07
10703,638,1,0,55,2,155828.22,1,0,1,108987.25
9201,458,2,0,43,1,106870.12,2,1,0,100564.37
239,703,0,1,28,2,81173.83,2,0,1,162812.16
5922,555,0,0,44,3,105770.7,3,1,0,60533.96
14985,665,1,0,51,8,0.0,1,1,1,38928.48
14288,727,1,1,71,8,0.0,1,1,1,198446.91
7953,622,2,1,33,3,96926.12,2,1,0,48553.77
1597,771,0,1,32,5,62321.62,1,1,1,40920.59
10279,646,2,0,57,6,90212.0,1,1,0,13911.27
14082,622,1,0,46,4,107073.27,2,1,1,30984.59
9990,714,2,1,33,3,35016.6,1,1,0,53667.08
1901,796,1,1,67,5,0.0,2,0,1,54871.02
1180,621,0,1,34,6,0.0,2,1,1,99128.13
7028,718,2,1,26,7,147527.03,1,0,0,51099.56
8496,577,1,1,43,3,0.0,2,1,1,135008.92
4302,544,2,1,44,2,108895.93,1,0,0,69228.2
3006,747,0,0,45,1,114959.12,1,1,0,189362.39
10051,461,0,1,51,9,119889.84,1,0,0,56767.67
2781,732,2,0,61,9,94867.18,2,1,1,157527.6
13366,623,1,1,46,4,0.0,1,1,0,5549.11
14674,581,2,1,40,0,101016.53,1,0,1,7926.35
15385,850,1,1,71,10,69608.14,1,1,0,97893.4
6482,850,0,1,32,4,156001.68,2,1,1,151677.31
14256,650,1,1,42,4,194532.66,1,1,0,171045.31
7662,809,2,1,50,10,118098.62,1,1,1,100720.02
5121,677,1,0,35,0,0.0,2,0,0,76637.38
6029,659,0,0,44,9,23503.31,1,0,1,169862.01
9407,419,1,0,27,2,121580.42,1,0,1,134720.51
2829,553,2,1,43,6,85200.82,2,1,1,160574.09
7762,850,0,0,34,2,0.0,2,0,0,51919.04
10796,627,0,1,44,6,153548.12,1,0,0,35300.08
7840,537,2,0,47,4,124192.28,2,1,1,50881.51
12966,644,0,1,37,6,117271.8,2,1,0,104217.96
4219,543,2,0,25,1,146566.01,1,0,1,161407.48
15002,475,0,1,40,7,160818.08,1,0,1,169642.13
13668,820,0,0,39,1,104614.29,1,1,0,61538.43
11230,575,2,1,49,7,121205.15,4,1,1,168080.53
6148,611,0,0,30,9,88594.14,1,1,0,196332.45
3413,605,0,1,39,3,0.0,2,1,0,199390.45
5363,771,1,1,51,5,135506.58,3,1,1,152479.64
906,685,0,1,33,6,174912.72,1,1,1,43932.54
8051,605,2,0,56,1,74129.18,2,1,1,62199.78
3693,742,0,0,60,4,0.0,1,1,1,13161.66
14809,683,1,1,40,4,95053.1,1,1,1,116816.54
3118,451,0,1,33,6,0.0,2,1,0,184954.11
13308,582,0,0,38,9,135979.01,4,1,1,76582.95
11241,659,2,1,67,6,117411.6,1,1,1,45071.09
8540,484,2,1,40,7,106901.42,2,0,0,118045.98
8116,640,2,0,43,9,94752.49,1,1,0,184006.36
6105,617,0,0,34,0,131244.65,2,1,0,183229.02
15681,649,0,0,56,8,156974.26,1,1,0,89405.26
5723,687,0,0,26,6,0.0,2,1,1,32909.13
7924,833,0,1,47,2,0.0,2,1,1,182247.77
11105,608,0,1,50,6,0.0,1,1,0,93568.77
